nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
180;7011;B06;P3;IS10;BF;BF3;IS10_E7;12;5,4922;-61,1546;20;10;2015;01:58:07;01:58:17;00:00:10;MP;C.paca;passing;1;5;herb;mediano
181;7012;B06;P3;IS10;BF;BF3;IS10_E8;9;5,4922;-61,1546;20;10;2015;02:09:23;02:09:31;00:00:08;MP;C.paca;passing;1;5;herb;mediano
182;7013;B06;P3;IS10;BF;BF3;IS10_E9;6;5,4922;-61,1546;21;10;2015;23:50:11;23:50:15;00:00:04;MP;C.paca;passing;1;5;herb;mediano
183;7006;B06;P3;IS10;BF;BF3;IS10_E2;27;5,4922;-61,1546;7;10;2015;15:40:40;15:43:27;00:02:47;MP;D.leporina;passing;1;5;herb;mediano
184;7005;B06;P3;IS10;BF;BF3;IS10_E1;9;5,4922;-61,1546;1;10;2015;18:50:29;18:50:38;00:00:09;MP;D.novemcinctus;passing;1;4;insect;mediano
185;7008;B06;P3;IS10;BF;BF3;IS10_E4;9;5,4922;-61,1546;12;10;2015;01:55:55;01:56:05;00:00:10;MP;P.maximus;passing;1;5;insect;grande
189;2803;B05;P1;LEE03;b0;b01;LEE03_E45;3;5,4889;-61,0947;22;11;2015;16:35:14;16:35:15;00:00:01;MP;C.olivaceus;passing;1;3;herb;mediano
190;2345;B03;P1;IS20;s0;s01;IS20_E30;3;5,5527;-61,0579;29;11;2015;12:59:44;12:59:45;00:00:01;MP;C.olivaceus;passing;1;5;herb;mediano
191;2625;B05;P1;IS03;sF;sF2;IS03_E71;3;5,5304;-61,0949;24;11;2015;11:25:59;11:26:00;00:00:01;MP;C.olivaceus;passing;1;5;herb;mediano
192;2260;B03;P1;IS05;B0;B0;IS05_E17;9;5,5519;-61,0519;14;11;2015;23:34:18;23:34:32;00:00:14;MP;C.paca;passing;1;5;herb;mediano
193;2647;B05;P1;IS07;b0;b01;IS07_E10;24;5,4591;-61,0840;7;11;2015;02:36:39;02:37:11;00:00:32;MP;C.paca;passing;1;5;herb;mediano
194;2837;B05;P1;LEE04;bf;bf1;LEE040312_E30;3;5,4800;-61,0858;2;11;2015;20:56:52;20:56:53;00:00:01;MP;C.paca;passing;1;5;herb;mediano
195;2839;B05;P1;LEE04;bf;bf1;LEE040312_E32;3;5,4800;-61,0858;7;11;2015;22:28:45;22:28:45;00:00:00;MP;C.paca;passing;1;5;herb;mediano
196;2658;B05;P1;IS17;bf;bf1;IS17_E7;6;5,4681;-61,0837;8;11;2015;18:49:14;18:49:21;00:00:07;MP;C.paca;passing;1;3;herb;mediano
197;2840;B05;P1;LEE04;bf;bf1;LEE040312_E33;9;5,4800;-61,0858;8;11;2015;23:10:43;23:10:53;00:00:10;MP;C.paca;passing;1;5;herb;mediano
198;2842;B05;P1;LEE04;bf;bf1;LEE040312_E35;6;5,4800;-61,0858;11;11;2015;22:50:08;22:51:13;00:01:05;MP;C.paca;passing;1;5;herb;mediano
199;2380;B04;P1;IS21;s0;s01;IS21_E27;3;5,5469;-61,1774;3;11;2015;18:15:58;18:16:00;00:00:02;MP;C.paca;passing;1;5;herb;mediano
200;2382;B04;P1;IS21;s0;s01;IS21_E29;3;5,5469;-61,1774;5;11;2015;17:50:36;17:50:37;00:00:01;MP;C.paca;passing;1;5;herb;mediano
201;2548;B04;P1;LEE07;s0;s01;LEE07_E6;3;5,5601;-61,1799;19;11;2015;23:24:02;23:24:02;00:00:00;MP;C.paca;passing;1;4;herb;mediano
202;2395;B04;P1;IS21;s0;s01;IS21_E42;3;5,5469;-61,1774;30;11;2015;18:33:19;18:33:21;00:00:02;MP;C.paca;passing;1;3;herb;mediano
203;2859;B06;P1;IS11;s0;s01;IS11_E8;6;5,5181;-61,1888;1;11;2015;23:17:47;23:17:52;00:00:05;MP;C.paca;passing;1;5;herb;mediano
204;2860;B06;P1;IS11;s0;s01;IS11_E9;6;5,5181;-61,1888;4;11;2015;18:17:21;18:17:26;00:00:05;MP;C.paca;passing;1;5;herb;mediano
205;2863;B06;P1;IS11;s0;s01;IS11_E12;6;5,5181;-61,1888;17;11;2015;18:18:55;18:19:00;00:00:05;MP;C.paca;passing;1;5;herb;mediano
206;2864;B06;P1;IS11;s0;s01;IS11_E13;6;5,5181;-61,1888;19;11;2015;22:53:06;22:53:11;00:00:05;MP;C.paca;passing;1;5;herb;mediano
207;1904;B02;P1;IS04;sF;sF2;IS04_E7;3;5,5750;-61,1204;16;11;2015;23:40:07;23:40:07;00:00:00;MP;C.paca;passing;1;5;herb;mediano
208;2572;B05;P1;IS03;sF;sF2;IS03_E18;9;5,5304;-61,0949;2;11;2015;20:03:11;20:03:28;00:00:17;MP;C.paca;passing;1;5;herb;mediano
209;2576;B05;P1;IS03;sF;sF2;IS03_E22;9;5,5304;-61,0949;5;11;2015;18:27:17;18:27:34;00:00:17;MP;C.paca;passing;1;5;herb;mediano
210;2577;B05;P1;IS03;sF;sF2;IS03_E23;18;5,5304;-61,0949;6;11;2015;22:12:48;22:13:40;00:00:52;MP;C.paca;passing;1;5;herb;mediano
211;2578;B05;P1;IS03;sF;sF2;IS03_E24;9;5,5304;-61,0949;6;11;2015;22:15:10;22:15:34;00:00:24;MP;C.paca;passing;1;5;herb;mediano
212;2579;B05;P1;IS03;sF;sF2;IS03_E25;6;5,5304;-61,0949;7;11;2015;20:23:35;20:24:00;00:00:25;MP;C.paca;passing;1;5;herb;mediano
213;2581;B05;P1;IS03;sF;sF2;IS03_E27;6;5,5304;-61,0949;8;11;2015;19:57:30;19:57:39;00:00:09;MP;C.paca;passing;1;5;herb;mediano
214;2585;B05;P1;IS03;sF;sF2;IS03_E31;3;5,5304;-61,0949;15;11;2015;19:07:49;19:07:51;00:00:02;MP;C.paca;passing;1;5;herb;mediano
215;2619;B05;P1;IS03;sF;sF2;IS03_E65;9;5,5304;-61,0949;22;11;2015;20:59:45;21:00:03;00:00:18;MP;C.paca;passing;1;5;herb;mediano
216;2626;B05;P1;IS03;sF;sF2;IS03_E72;9;5,5304;-61,0949;24;11;2015;19:02:29;19:02:45;00:00:16;MP;C.paca;passing;1;5;herb;mediano
217;2882;B06;P1;LEE05;sF;sF2;LEE05_E9;6;5,4963;-61,1568;3;11;2015;17:03:32;17:03:37;00:00:05;MP;C.paca;passing;1;5;herb;mediano
218;2883;B06;P1;LEE05;sF;sF2;LEE05_E10;6;5,4963;-61,1568;5;11;2015;18:12:16;18:12:21;00:00:05;MP;C.paca;passing;1;5;herb;mediano
219;2885;B06;P1;LEE05;sF;sF2;LEE05_E12;6;5,4963;-61,1568;8;11;2015;20:34:16;20:34:21;00:00:05;MP;C.paca;passing;1;5;herb;mediano
220;2887;B06;P1;LEE05;sF;sF2;LEE05_E14;15;5,4963;-61,1568;12;11;2015;17:19:24;17:19:43;00:00:19;MP;C.paca;passing;1;5;herb;mediano
221;2888;B06;P1;LEE05;sF;sF2;LEE05_E15;6;5,4963;-61,1568;12;11;2015;18:30:03;18:30:10;00:00:07;MP;C.paca;passing;1;5;herb;mediano
